love	любовь	sex	секс	6.77
book	книга	paper	бумага	7.46
computer	комп	internet	интернет	7.58
plane	самолет	car	машина	5.77
train	поезд	car	машина	6.31
telephone	телефон	communication	связь	7.5
television	тв	radio	радио	6.77
media	сми	radio	радио	7.42
bread	хлеб	butter	масло	6.19
cucumber	огурец	potato	картошка	5.92
smart	умный	student	студент	4.62
smart	умный	stupid	глупый	5.81
company	компания	stock	акция	7.08
stock	акция	market	рынок	8.08
stock	акция	phone	телефон	1.62
stock	акция	egg	яйцо	1.81
stock	акция	live	живой	3.73
stock	акция	life	жизнь	0.92
bank	банк	money	деньги	8.12
wood	дерево	forest	лес	7.73
holy	святой	sex	секс	1.62
fuck	ебать	sex	секс	9.44
movie	фильм	star	звезда	7.38
physics	физик	chemistry	химия	7.35
space	космос	chemistry	химия	4.88
alcohol	алкоголь	chemistry	химия	5.54
drink	пить	car	машина	3.04
drink	пить	ear	ухо	1.31
drink	пить	mouth	рот	5.96
drink	пить	eat	есть	6.87
baby	ребенок	mother	мать	7.85
drink	пить	mother	мать	2.65
journey	поездка	car	машина	5.85
shore	пляж	woodland	лес	3.08
money	деньги	dollar	доллар	8.42
money	деньги	property	собственный	7.57
money	деньги	bank	банк	8.5
money	деньги	operation	операция	3.31
psychology	психолог	anxiety	страх	7
psychology	психолог	fear	страх	6.85
psychology	психолог	depression	депрессия	7.42
psychology	психолог	clinic	больница	6.58
psychology	психолог	doctor	доктор	6.42
psychology	психолог	mind	ум	7.69
psychology	психолог	health	здоровье	7.23
psychology	психолог	discipline	порядок	5.58
precedent	случай	example	пример	5.85
precedent	случай	information	информация	3.85
precedent	случай	law	закон	6.65
precedent	случай	group	группа	1.77
precedent	случай	antecedent	предыдущий	6.04
weapon	оружие	secret	секрет	6.06
Mars	марс	water	вода	2.94
image	картинка	surface	внешний	4.56
Wednesday	среда	news	новость	2.22
computer	комп	news	новость	4.47
territory	территория	surface	внешний	5.34
war	война	troops	войска	8.13
record	запись	number	число	6.31
skin	кожа	eye	глаз	6.22
century	век	year	год	7.59
century	век	nation	нация	3.16
peace	мир	plan	план	4.75
attempt	попытка	peace	мир	4.25
stroke	удар	hospital	больница	7.03
school	школа	center	центр	3.44
hundred	сотня	percent	процент	7.38
death	смерть	row	ряд	5.25
life	жизнь	death	смерть	7.88
life	жизнь	term	срок	4.5
word	слово	similarity	похожий	4.75
governor	правительство	interview	интервью	3.25
peace	мир	atmosphere	воздух	3.69
territory	территория	kilometer	км	5.28
travel	поездка	activity	действие	5
competition	матч	price	цена	6.44
problem	проблема	airport	аэропорт	2.38
car	машина	flight	бой	4.94
grocery	продукт	money	деньги	5.94
type	тип	kind	вид	8.97
bed	кровать	closet	шкаф	6.72
closet	шкаф	clothes	одежда	8
situation	ситуация	conclusion	вывод	4.81
direction	направление	combination	сбор	2.25
street	улица	place	место	6.44
street	улица	children	ребенок	4.94
listing	список	proximity	ближе	2.56
dollar	доллар	loss	потеря	6.09
computer	комп	software	программа	8.5
network	сеть	hardware	техник	8.31
game	игра	victory	победа	7.03
game	игра	team	команда	7.69
game	игра	series	серия	6.19
start	начало	year	год	4.06
start	начало	match	матч	4.47
game	игра	round	тур	5.97
day	день	summer	лето	3.94
summer	лето	nature	природа	5.63
nature	природа	environment	среда	8.31
nature	природа	man	мужчина	6.25
man	мужчина	woman	женщина	8.3
man	мужчина	governor	правительство	5.25
life	жизнь	lesson	урок	5.94
television	тв	film	фильм	7.72
possibility	возможность	girl	девушка	1.94
population	население	development	развитие	3.75
change	смена	attitude	отношение	5.44
family	семья	planning	планировать	6.25
sugar	сахар	approach	способ	0.88
practice	практик	institution	институт	3.19
size	размер	prominence	известный	5.31
country	страна	citizen	житель	7.31
development	развитие	issue	проблема	3.97
experience	опыт	music	музыка	3.47
music	музыка	project	проект	3.63
space	космос	world	мир	6.53
admission	принять	ticket	билет	7.69
governor	правительство	office	офис	6.34
